gov_ID,Latitude,Longitude,Cnt_Cat1,Cnt_Cat2,Cnt_Cat3,Cnt_Cat4,Cnt_Cat5,Cnt_Cat6,Count,Tag_Cat1,Tag_Cat2,Tag_Cat3,Tag_Cat4,Tag_Cat5,Tag_Cat6,Tags
서울특별시 종로구,37.59491732,126.9773213,7,19,10,9,15,0,60,368842,62567,22481,22557,3136606,0,3613053
서울특별시 중구,37.56014356,126.9959681,2,9,1,1,1,0,14,27006,9703,0,40000,347000,0,423709
서울특별시 용산구,37.53138497,126.979907,0,4,0,1,0,0,5,0,1716,0,869,0,0,2585
서울특별시 성동구,37.55102969,127.0410585,0,1,3,0,0,0,4,0,17,0,0,0,0,17
서울특별시 광진구,37.54672024,127.0857441,0,1,3,0,0,0,4,0,631,0,0,0,0,631
서울특별시 동대문구,37.58195655,127.0548481,0,4,7,0,1,0,12,0,2337,28,0,77,0,2442
서울특별시 중랑구,37.59781738,127.0928832,0,0,2,0,1,0,3,0,0,2,0,18,0,20
서울특별시 성북구,37.6057019,127.0175795,0,8,10,0,4,0,22,0,5022,8,0,4284,0,9314
서울특별시 강북구,37.64347391,127.011189,2,1,7,0,4,0,14,424,1,32,0,524,0,981
서울특별시 도봉구,37.66910208,127.0323688,1,1,8,0,1,0,11,372,889,43,0,2,0,1306
서울특별시 노원구,37.65251105,127.0750347,0,1,3,0,1,0,5,0,0,47,0,4127000,0,4127047
서울특별시 은평구,37.61921128,126.9270229,1,0,6,2,0,0,9,0,0,0,40,0,0,40
서울특별시 서대문구,37.57778531,126.9390631,0,1,2,0,2,0,5,0,47,0,0,43000,0,43047
서울특별시 마포구,37.55931349,126.90827,1,3,3,0,0,0,7,0,6522,0,0,0,0,6522
서울특별시 양천구,37.52478941,126.8554777,0,0,2,0,0,0,2,0,0,34,0,0,0,34
서울특별시 강서구,37.56123543,126.8228067,0,2,4,0,0,0,6,0,147,169,0,0,0,316
서울특별시 구로구,37.49440543,126.8563006,0,0,3,0,0,0,3,0,0,0,0,0,0,0
서울특별시 금천구,37.46056756,126.9008202,0,1,5,0,0,0,6,0,8,3,0,0,0,11
서울특별시 영등포구,37.52230829,126.9101695,0,0,1,0,0,0,1,0,0,0,0,0,0,0
서울특별시 동작구,37.49887688,126.9516415,0,2,2,0,2,0,6,0,1811,0,0,478,0,2289
서울특별시 관악구,37.46737569,126.9453372,0,4,10,0,2,0,16,0,216648,595,0,0,0,217243
서울특별시 서초구,37.47329547,127.0312203,0,2,1,0,1,0,4,0,587,1097,0,2001,0,3685
서울특별시 강남구,37.49664389,127.0629852,0,0,0,0,14,0,14,0,0,0,0,576597,0,576597
서울특별시 송파구,37.50561924,127.115295,0,5,1,0,2,0,8,0,22035,0,0,626,0,22661
서울특별시 강동구,37.55045024,127.1470118,0,1,1,0,1,0,3,0,2091,0,0,1,0,2092
부산광역시 중구,35.10547776,129.0315402,0,1,4,0,1,0,6,0,40,2,0,5,0,47
부산광역시 서구,35.10295786,129.0149133,1,2,9,0,0,0,12,119,243,184,0,0,0,546
부산광역시 동구,35.12918632,129.0445856,0,1,4,0,2,0,7,0,171,156,0,44,0,371
부산광역시 영도구,35.07864998,129.0648233,0,1,11,0,1,0,13,0,57,268,0,5,0,330
부산광역시 부산진구,35.16524411,129.0430603,0,1,7,0,0,0,8,0,348,12,0,0,0,360
부산광역시 동래구,35.20621244,129.0792201,1,7,13,0,2,1,24,178,1163,22,0,177,1561,3101
부산광역시 남구,35.12554765,129.0943068,0,0,6,0,1,0,7,0,0,235,0,26,0,261
부산광역시 북구,35.22924789,129.0234633,1,2,7,0,0,0,10,224,177,23000,0,0,0,23401
부산광역시 해운대구,35.19385512,129.15359,0,0,9,0,0,0,9,0,0,37,0,0,0,37
부산광역시 사하구,35.08887912,128.9738077,0,0,8,0,2,0,10,0,0,138,0,17018,0,17156
부산광역시 금정구,35.25889375,129.0915287,1,3,16,2,1,0,23,3,6,665,94,0,0,768
부산광역시 강서구,35.13834787,128.8924006,1,2,5,0,2,0,10,0,10,1131,0,48,0,1189
부산광역시 연제구,35.18241798,129.0829353,0,1,4,0,0,0,5,0,590,12,0,0,0,602
부산광역시 수영구,35.16133146,129.1111627,0,4,3,0,0,0,7,0,1228,231,0,0,0,1459
부산광역시 사상구,35.15803097,128.9865924,0,1,4,0,0,0,5,0,3529,0,0,0,0,3529
부산광역시 기장군,35.29801166,129.200956,0,4,6,0,2,0,12,0,36,8584,0,9,0,8629
대구광역시 중구,35.86653529,128.5936058,3,3,3,0,2,0,11,5423,412,5106,0,64,0,11005
대구광역시 동구,35.93442633,128.6856599,0,19,11,8,10,0,48,0,16351,233,707,429,0,17720
대구광역시 서구,35.87500167,128.5496976,0,0,0,0,0,0,0,0,0,0,0,0,0,0
대구광역시 남구,35.83517716,128.5853296,0,1,2,0,4,0,7,0,2286,52,0,89,0,2427
대구광역시 북구,35.92892237,128.5772044,1,12,2,0,8,0,23,0,417,32,0,104,0,553
대구광역시 수성구,35.83384886,128.6612744,0,6,3,0,11,0,20,0,638,4,0,182,0,824
대구광역시 달서구,35.8274831,128.5292121,1,5,0,0,17,0,23,0,10,0,0,3,0,13
대구광역시 달성군,35.75971594,128.4982256,1,16,7,4,10,0,38,224,6157,949,83,106,0,7519
